"Code.U2A","Libellé.U2A","Action.menée","Adresse","latitude","longitude","result_address","result_score","result_type","result_id","Code.INSEE","Code.Postal","Commune","Departement","Region","Statut","Altitude.Moyenne","Superficie","Population","geo_point_2d","geo_shape","ID.Geogla","Code.Commune","Code.Canton","Code.Arrondissement","Code.Departement","Code.Region","lat","long"
"A1","Siège","Entrepôt pour aide matérielle","98 rue Didot   75014 PARIS 14EME ARRONDISSEMENT",48.832753,2.325672,"14e Arrondissement",0.39,"city","75114","75114","75014","PARIS-14E-ARRONDISSEMENT","PARIS","ILE-DE-FRANCE","Chef-lieu canton",63,560,137.2,"48.8289932116, 2.32710088326","{""type"": ""Polygon"", ""coordinates"": [[[2.343909438065682, 48.815757146101575], [2.33190893200826, 48.817012789148606], [2.314148423547311, 48.822290551056035], [2.301320806267096, 48.82513028921857], [2.324660773025275, 48.84352162052588], [2.336591298996422, 48.83969412678994], [2.342031572330786, 48.83830317558654], [2.343909438065682, 48.815757146101575]]]}",32539,114,28,1,"75",11,48.8289932116,2.32710088326
"E0101","Entrepôt de Saint Nizier le Désert","Entrepôt pour aide matérielle","3 rue Henry Dunant   1000 BOURG EN BRESSE",46.212381,5.228761,"3 Rue Henri Dunant 01000 Bourg-en-Bresse",0.78,"housenumber","01053_1860_9b4ea4","1053","1000","BOURG-EN-BRESSE","AIN","RHONE-ALPES","Préfecture",239,2400,39.6,"46.2051520382, 5.24602125501","{""type"": ""Polygon"", ""coordinates"": [[[5.256739653622479, 46.176140043712714], [5.23716312569385, 46.175941581632486], [5.234440771125423, 46.18232808804288], [5.221684122718247, 46.192055022543386], [5.206996949888455, 46.19132318845536], [5.210899046412501, 46.211209893866105], [5.215885446042929, 46.2119416029869], [5.217960376609742, 46.222170698097976], [5.224836605872274, 46.22722522713482], [5.245153212489166, 46.227618759025226], [5.259098068751391, 46.22363114702096], [5.272710900939183, 46.22826959986789], [5.287225820362988, 46.225852623795255], [5.282051687415889, 46.21163290880167], [5.274198590886567, 46.20844806531691], [5.274336847479696, 46.193644219213326], [5.254545009976062, 46.17921947833049], [5.256739653622479, 46.176140043712714]]]}",5244,53,99,2,"1",82,46.2051520382,5.24602125501
"E0901","Entrepôt dept. Ariège","Entrepôt pour aide matérielle","9 avenue du 11 novembre   9600 Laroque-d'Olmes",42.969885,1.866361,"9 Avenue du 11 Novembre 1918 09600 Laroque-d'Olmes",0.77,"housenumber","09157_0039_e18eb4","9157","9600","LAROQUE-D'OLMES","ARIEGE","MIDI-PYRENEES","Commune simple",493,1433,2.7,"42.9675623246, 1.87181602964","{""type"": ""Polygon"", ""coordinates"": [[[1.886543752911944, 42.94923339366121], [1.861450672101011, 42.95704714713154], [1.838080049185283, 42.95739968031288], [1.827246974822655, 42.9559958836709], [1.826833164271167, 42.96253009978665], [1.82956072720383, 42.9651231655526], [1.83842872678448, 42.964445846248516], [1.843582892098048, 42.973126824441174], [1.857080879257661, 42.97435944364559], [1.861855171025298, 42.98011241412833], [1.866447228517587, 42.98019689403915], [1.872717785458492, 42.985938173970794], [1.874260411812203, 42.98599030928626], [1.894713222201176, 42.97990650820366], [1.897735159086956, 42.977527089557995], [1.910999579724153, 42.97760827287895], [1.902371540573726, 42.962968110444365], [1.889839644206906, 42.959340750654405], [1.886543752911944, 42.94923339366121]]]}",33417,157,10,2,"9",73,42.9675623246,1.87181602964
"E1101","Entrepôt dept. Carcassonne","Entrepôt pour aide matérielle","18 rue de l'industrie   11800 TREBES",43.20669,2.419186,"18 Rue de l'Industrie 11800 Trèbes",0.91,"housenumber","11397_0123_3d8aec","11037","11000","BERRIAC","AUDE","LANGUEDOC-ROUSSILLON","Commune simple",110,267,0.9,"43.21409862, 2.40773271657","{""type"": ""Polygon"", ""coordinates"": [[[2.413556964283178, 43.20880320045513], [2.40454058907437, 43.2078363237923], [2.391620828685573, 43.21089464143171], [2.405760763537875, 43.22310810295618], [2.412112244094525, 43.21904998616793], [2.420235872264755, 43.217240877507855], [2.421300681694464, 43.214080242389684], [2.42170213382158, 43.210835096372364], [2.413556964283178, 43.20880320045513]]]}",10322,37,7,1,"11",91,43.21409862,2.40773271657
"E1301","Entrepôt d'Aix en Provence","Entrepôt pour aide matérielle","1070 rue du Lieutenant Pareyre   13290 LES MILLES",43.529742,5.447427,"",NA,"","","13001","13080/13090/13100/13290/13540","AIX-EN-PROVENCE","BOUCHES-DU-RHONE","PROVENCE-ALPES-COTE D'AZUR","Sous-préfecture",236,18759,141.9,"43.5360708378, 5.39857444582","{""type"": ""Polygon"", ""coordinates"": [[[5.301002589064487, 43.446114936595045], [5.298483447817306, 43.45912014166257], [5.289915030001163, 43.4664209716371], [5.289305152894978, 43.47313929640353], [5.271657922982974, 43.48567937952667], [5.269571894227765, 43.495461784468105], [5.291801363625438, 43.512815860188134], [5.294161903103133, 43.51958864644784], [5.306781274750302, 43.51504557399661], [5.334287056175849, 43.51929068700474], [5.348489862538126, 43.53631136766636], [5.353078151296627, 43.535356845790574], [5.360388534510221, 43.539527672336725], [5.373639465300958, 43.54159697258545], [5.381736685108345, 43.56438222155725], [5.357502581819215, 43.58858516773918], [5.334503639199972, 43.59279961316724], [5.340577666414934, 43.59779077435936], [5.356852471345463, 43.603208911118976], [5.366322666316932, 43.61837800908917], [5.365338311584773, 43.6248537399574], [5.411258165812632, 43.622674235347056], [5.444232052261843, 43.6220815510641], [5.463795498283422, 43.613645829396354], [5.465090468146154, 43.57632119718141], [5.493953579853799, 43.566651101424284], [5.4974700218746, 43.56040394918012], [5.480426897839386, 43.536390980215145], [5.483114279738093, 43.53358399973296], [5.50630302329369, 43.532213650854594], [5.504571303335343, 43.5291030353668], [5.487468484003867, 43.52441959157315], [5.478661524445037, 43.525017247040914], [5.47950920131956, 43.51255771436222], [5.471441000141422, 43.51188671952746], [5.464782977867767, 43.50343285342143], [5.465241407724793, 43.49711245590296], [5.470883561927316, 43.49202427438368], [5.469146867785413, 43.489012382594154], [5.457415025614134, 43.47890947961258], [5.441786111562771, 43.47152166932406], [5.433593644617256, 43.473605155354555], [5.406891414357507, 43.47051996845833], [5.387538063190512, 43.46190210537749], [5.359344064117286, 43.47977418093231], [5.332813959530307, 43.48758500736634], [5.321151375148569, 43.48164277216635], [5.32750784439473, 43.46126384545828], [5.301002589064487, 43.446114936595045]]]}",13666,1,97,1,"13",93,43.5360708378,5.39857444582
"E3001","Entrepôt de Beaucaire","Entrepôt pour aide matérielle","16, Rue de la Placette   30300 Beaucaire",43.807912,4.646769,"16 Rue de la Placette 30300 Beaucaire",0.92,"housenumber","30032_0860_5ea923","13108","13150","TARASCON","BOUCHES-DU-RHONE","PROVENCE-ALPES-COTE D'AZUR","Chef-lieu canton",20,7432,13.2,"43.7939885332, 4.68614849204","{""type"": ""Polygon"", ""coordinates"": [[[4.679766571140123, 43.72861237622729], [4.662401580740488, 43.740111462806574], [4.644367228116828, 43.744543491384576], [4.636749741096501, 43.759923067583635], [4.628105853913357, 43.75771247323437], [4.651798161050864, 43.78435765527655], [4.654416350461973, 43.809160097858125], [4.642970144937002, 43.83211445003965], [4.666674579721374, 43.84721858754936], [4.668102044142847, 43.84754781243485], [4.691117244970322, 43.84480815536383], [4.700329585531206, 43.84636617102889], [4.721091250647915, 43.85433973543875], [4.721771136517863, 43.86121499403978], [4.728694201898551, 43.86593925091604], [4.734466062607036, 43.857710449040475], [4.741521512631131, 43.84186380110584], [4.739900916418366, 43.831934315593685], [4.732024826172984, 43.81986314105329], [4.713817336579798, 43.81670343398618], [4.710768541549554, 43.79250271593291], [4.699529406853687, 43.77723313851738], [4.71014825042231, 43.75846243835834], [4.733388759967895, 43.75415275579222], [4.71155028597619, 43.73268062340784], [4.697513401422061, 43.732738364145575], [4.679766571140123, 43.72861237622729]]]}",7640,108,33,2,"13",93,43.7939885332,4.68614849204
"E3002","Entrepôt de Nimes","Entrepôt pour aide matérielle","2160 chemin de Bachas   30000 NIMES",43.811189,4.37163,"2160 Chemin du Bachas 30000 Nîmes",0.83,"housenumber","30189_0745_9457ab","30060","30132","CAISSARGUES","GARD","LANGUEDOC-ROUSSILLON","Commune simple",49,853,3.7,"43.7920118667, 4.39549848347","{""type"": ""Polygon"", ""coordinates"": [[[4.404963034464251, 43.77126810807542], [4.393254426014988, 43.782119570603705], [4.380884949737362, 43.78533704916392], [4.369835779317631, 43.796015639196206], [4.398091389830595, 43.813315396884285], [4.408726103958246, 43.797995024590094], [4.411361185096196, 43.78443361799718], [4.41743068583048, 43.77419366717162], [4.404963034464251, 43.77126810807542]]]}",30158,60,45,2,"30",91,43.7920118667,4.39549848347
"E5601","A DEFINIR","Centre de Distribution Alimentaire","  6-8 rue François Robin 56100 LORIENT",47.751612,-3.380022,"8 Rue François Robin 56100 Lorient",0.88,"housenumber","56121_2177_dd55d9","56121","56100","LORIENT","MORBIHAN","BRETAGNE","Sous-préfecture",18,1483,57.8,"47.7500486947, -3.37823200917","{""type"": ""Polygon"", ""coordinates"": [[[-3.367402704442918, 47.725124136345215], [-3.375206906635591, 47.72949323690861], [-3.394784261963038, 47.73113187799218], [-3.395139087359291, 47.75188163427598], [-3.409891739692264, 47.766063176494804], [-3.403145386569178, 47.7742078575267], [-3.376113544526722, 47.76874171888469], [-3.37209477364977, 47.77052304382037], [-3.363467250202885, 47.75955250951328], [-3.356454097443921, 47.75835403314092], [-3.350065454096808, 47.74366708223978], [-3.356602647609183, 47.73116653083993], [-3.367402704442918, 47.725124136345215]]]}",9812,121,98,1,"56",53,47.7500486947,-3.37823200917
"E5602","Entrepôt du Morbihan","Entrepôt pour aide matérielle","6-8 rue François Robin   56100 LORIENT",47.751612,-3.380022,"8 Rue François Robin 56100 Lorient",0.88,"housenumber","56121_2177_dd55d9","56121","56100","LORIENT","MORBIHAN","BRETAGNE","Sous-préfecture",18,1483,57.8,"47.7500486947, -3.37823200917","{""type"": ""Polygon"", ""coordinates"": [[[-3.367402704442918, 47.725124136345215], [-3.375206906635591, 47.72949323690861], [-3.394784261963038, 47.73113187799218], [-3.395139087359291, 47.75188163427598], [-3.409891739692264, 47.766063176494804], [-3.403145386569178, 47.7742078575267], [-3.376113544526722, 47.76874171888469], [-3.37209477364977, 47.77052304382037], [-3.363467250202885, 47.75955250951328], [-3.356454097443921, 47.75835403314092], [-3.350065454096808, 47.74366708223978], [-3.356602647609183, 47.73116653083993], [-3.367402704442918, 47.725124136345215]]]}",9812,121,98,1,"56",53,47.7500486947,-3.37823200917
"E5901","Entrepôt de Lomme","Entrepôt pour aide matérielle","60 rue Destombes .  59160 LOMME",50.645059,3.006093,"60 Rue Destombes 59160 Lille",0.71,"housenumber","59350_9424_e13d74","59328","59130","LAMBERSART","NORD","NORD-PAS-DE-CALAIS","Commune simple",22,606,28.3,"50.6522053005, 3.02491174276","{""type"": ""Polygon"", ""coordinates"": [[[3.045816061642774, 50.648072230839595], [3.028617656105381, 50.63615072975644], [3.002738469896423, 50.65235229890965], [3.00750978627126, 50.65347385371189], [3.01068720918513, 50.6595400215457], [3.017479255346581, 50.66345187152128], [3.020758328588332, 50.671859833399814], [3.045816061642774, 50.648072230839595]]]}",35209,328,38,5,"59",31,50.6522053005,3.02491174276
